,classify
0,0
1,3
2,0
3,3
4,3
5,3
6,3
7,3
8,1
9,2
10,1
11,2
12,3
13,4
14,2
15,3
16,3
17,4
18,3
19,0
20,3
21,2
22,3
23,3
24,3
25,1
26,4
27,3
28,4
29,2
30,1
31,2
32,4
33,3
34,1
35,1
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,0
44,1
45,3
46,4
47,4
48,3
49,3
50,1
51,1
52,0
53,2
54,3
55,4
56,4
57,3
58,3
59,1
60,3
61,0
62,2
63,3
64,0
65,3
66,4
67,3
68,1
69,0
70,0
71,3
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,3
81,0
82,3
83,3
84,1
85,3
86,3
87,1
88,3
89,3
90,3
91,1
92,1
93,4
94,4
95,1
96,3
97,3
98,0
99,3
100,1
101,0
102,1
103,3
104,0
105,3
106,2
107,2
108,2
109,1
110,1
111,1
112,1
113,2
114,1
115,3
116,2
117,1
118,2
119,3
120,3
121,1
122,3
123,4
124,3
125,3
126,2
127,1
128,3
129,3
130,3
131,1
132,1
133,3
134,3
135,1
136,4
137,3
138,1
139,3
140,1
141,1
142,1
143,3
144,2
145,1
146,2
147,3
148,1
149,0
150,1
151,1
152,3
153,1
154,0
155,4
156,0
157,1
158,2
159,3
160,0
161,4
162,1
163,3
164,4
165,3
166,1
167,0
168,4
169,0
170,3
171,3
172,3
173,1
174,2
175,3
176,1
177,1
178,4
179,1
180,3
181,4
182,1
183,1
184,1
185,3
186,4
187,1
188,1
189,1
190,2
191,0
192,2
193,3
194,0
195,3
196,3
197,4
198,1
199,4
200,3
201,0
202,1
203,3
204,1
205,1
206,3
207,1
208,1
209,4
210,3
211,0
212,3
213,3
214,3
215,1
216,3
217,3
218,4
219,1
220,4
221,2
222,1
223,2
224,4
225,1
226,1
227,1
228,3
229,3
230,1
231,2
232,4
233,3
234,0
235,1
236,4
237,1
238,0
239,1
240,3
241,1
242,1
243,0
244,0
245,1
246,3
247,4
248,1
249,2
250,3
251,4
252,1
253,3
254,1
255,4
256,2
257,2
258,0
259,2
260,1
261,1
262,3
263,4
264,3
265,3
266,2
267,0
268,0
269,1
270,4
271,3
272,3
273,2
274,3
275,3
276,3
277,0
278,4
279,2
280,1
281,4
282,2
283,3
284,4
285,3
286,2
287,3
288,4
289,3
290,1
291,4
292,3
293,2
294,1
295,1
296,4
297,2
298,4
299,3
300,3
301,3
302,1
303,1
304,3
305,0
306,3
307,1
308,1
309,3
310,1
311,1
312,1
313,4
314,2
315,2
316,1
317,2
318,2
319,1
320,1
321,3
322,1
323,0
324,1
325,0
326,3
327,4
328,3
